snmvwaumjq,odsuaqucpi,dxinmxosmr,waqpkgekqo,oqaahsypbg,qxorwgqkri
0.136,0.1175,-0.49,10,vjrgpipkag,qbkmdqacrf
doG,ehowakblzw,-0.4135,cpngcwgllu,-0.0415,amheiermbf
ivcubfqbst,0.0465,0.4405,820,-42,xkjyppkchp
-450,hshrhsttde,0.0315,454,-0.271,-0.1935
759,-0.223,omwbkwsjui,-0.362,bqxtlnoeig,-0.2225
tuvssgjgna,770,dwvtdvgkot,-0.0305,otrqosolzq,-0.1245
-850,vbtxtdmjgg,cAt,yvzdiwgqwf,937,-0.309
401,-0.093,cAt,687,-0.2835,Dog
gmmpbaymjm,ytbxsoshti,dOG,doG,-889,383
-380,-468,-0.3535,wfrupbwvzq,fyrctczneb,0.2845
-948,wutsugdnjr,lkdfjlmbqw,0.2745,Dog,-0.356
-0.1655,-0.037,nqngkoazvb,ikhtaxxdoo,Dog,-0.1575
0.255,-232,ohzxzgxivg,-508,-0.2035,arcbwprvgw
-0.291,-450,-236,254,-0.472,doG
dizodexyld,CaT,-443,dOg,-0.167,-144
-0.4265,0.1255,-0.351,eogsdvmgfi,0.3405,0.418
dog,-754,CAT,euxmgirmtr,16,-0.0045
yilbrxuxno,DoG,-0.3135,0.169,-64,-842
0.0185,gdfvvrhvag,-0.2795,gzulcwprge,jwfupjrrem,zjqtniqhso
-0.1065,doG,0.299,684,rvmlcnwvhx,223
CAT,dOG,shueteslfc,cat,fwquwymnkq,ftyeitjuuu
oxcjqwqilw,dmhtplpmpa,CaT,-968,gmpvymrixf,vnbyqwkucf
141,gdvuxmbxev,hfcgogzdxr,cAt,703,kneqcpqelt
DOg,phijrfhhqw,cAt,hwxgmhuryn,0.318,snaxrohyxm
0.014,-0.379,647,ddptnkyosk,uoxnwyvhgv,-0.4335
doG,870,-0.267,ribptlkzds,intnpbedyz,uxgqeayqzf
235,341,-0.4445,-874,-0.267,mfxdxvlgde
rnfmrjefpu,393,nleeiyydez,-831,-233,-0.0565
0.1005,-157,CaT,-318,tqrrnkzbpw,626
hvgnhbxqou,fdcnzjipyf,erfmpwaxrc,vuxddfjuwc,0.2935,ewcordvcqo
-754,czgbrzwzjr,cAT,-0.027,592,143
583,2,ofnaqxlxwp,-56,446,-176
Dog,afzvekqlyv,0.3785,akatsaioey,-768,82
-0.2065,445,0.3385,-219,jgzlrrossj,600
-0.3135,wfhgyirmoq,-610,cAT,cat,-505
-0.371,fvqmfocyly,mtuxhhtedy,szzycsmtwr,CAT,-908
idbfujujin,dog,kelneezahx,887,0.0525,578
cAT,-0.058,-0.1305,fpeycveycd,0.017,0.1835
597,CaT,caT,-0.495,-0.0395,CAt
-0.0415,caT,Dog,0.157,-0.0905,490
xgdsxgijvg,CaT,0.4485,-0.3945,630,utolmwxtxj
lrthkfebem,-266,mesycvnvid,DoG,0.009,DOg
-690,0.497,0.055,499,qfviitkzgr,ovljgggtxl
-0.3815,0.024,mhjhnjowrc,7,CAT,doG
0.274,-544,-0.27,-580,nsybaibidd,0.4605
Dog,0.24,489,ewhlkqywjs,-9,821
-224,-0.464,cat,-463,ffrvuqwize,vgxjjbdjuw
wznkbuysjg,dOg,-910,CAt,doG,880
68,CAT,xqfewunpfl,-0.3845,rsquvzelwp,wisoutmnvt
92,-0.3985,-542,dOg,-0.225,-0.0905
0.231,ygwednhgst,oglczthcdj,-452,0.0875,ycnxnhjkim
177,0.4145,-0.112,-0.311,-0.4615,Dog
0.0685,-0.22,0.2255,qdrbxhvtgp,-0.3385,-1
xybqhbpjzq,0.1525,0.003,-790,0.486,0.0295
dOG,-736,-181,vaxcmcjgpy,118,yfttzofgje
-678,0.211,0.067,udecpbthbp,-624,0.473
0.33,cat,jeswryxpns,rzcmxmssqq,kqzvwmytfk,alufghkveo
718,-0.2565,cAt,0.3385,pzqstoxtnl,495
650,938,caT,doG,fkoulacqxa,248
Dog,0.1235,-0.407,lhslmlgnmd,yskudqxmsc,-0.0415
doG,-900,0.458,ccspettcgx,ufwqfklmjc,dog
-143,dOg,dOG,0.0045,vrfpuqdbzy,-0.203
-0.304,0.4905,0.385,huicwjeckb,0.132,-891
0.061,CaT,-473,snzswkcakf,0.2035,CAt
-312,546,0.3315,-0.4895,-0.0835,dOg
0.496,dOg,cAt,dOg,241,309
673,dog,216,-829,-0.498,0.073
llrrhuxime,-484,czqswvhklf,nxybqejtdw,dog,185
156,Dog,cat,-366,-0.079,-0.0555
-238,qnrvcshxub,odpntcgzck,onmztlvjkb,113,0.1895
-844,godchmfxkr,550,101,-273,dOg
axzewlwmym,caT,ixkrsxxpip,-223,-0.1735,iioskmbjbv
-697,253,-0.1705,-549,pzjkjzjuof,wxktttymrg
467,0.1525,-0.4495,-883,zaqzaunyen,mwxwspqcgy
0.3645,yaqymnzhaf,rikhwbrcdi,DoG,pwkgpgmsnj,ixhhilyrxx
0.434,-0.435,ggfwrortna,Dog,-0.303,-462
kgwadbuglv,459,rcnsnibzor,dog,-726,845
0.2,vzaqpsljbd,jclvhmtvqh,281,-837,axcxioemrz
0.2225,0.2985,mttafaqiue,cAT,rgrsvqvtnt,-0.1825
993,0.044,Dog,vbwkhcwpyn,-0.082,665
rmzoklbfrk,oghwidolge,-323,-975,15,qnioweqrys
-0.293,-0.245,0.08,230,0.193,388
hkwgykycxe,xwcuthrykn,814,275,pmjellskkp,tiptiyxeup
-592,Dog,-0.3185,0.2595,lkuvcrguqf,586
-0.1075,Cat,0.3055,725,-341,73
-130,0.491,0.3305,DOG,dog,dinoubnlev
cqfdwpklib,cAt,-0.1605,jjvlcgwaen,-0.466,CAt
lrrktedhgr,oxjbvwnnpj,okipgitlmr,jjljvhwnbr,DoG,ndtjzfdluy
doG,-0.2925,0.2405,DOg,CAt,-63
-0.212,CaT,-0.349,589,0.434,dOg
0.455,meeagjvvdv,CAt,nsyjosgysg,nxldbhuvhg,iehvfrexsq
-0.4,rjwfjrfutw,361,kvcukiombo,406,bbjyielntg
caT,-555,didpfjoxua,0.383,-0.1245,doG
0.3175,-701,316,-0.428,-118,mijdzzurhx
xnsrdldjnv,-867,0.3685,cAt,-525,0.36
655,qowqxpkmxa,-957,96,jqkqfmkstd,xlhxkemjck
-0.1675,-480,-431,-921,0.096,wgjtmxpbgi
doG,844,zowibqbnin,caT,grthkscgoa,doG
