PEt,qrfdtipvxg,zassnimnkr,ixejljclrs,teuibjzqlm,vjmgaecsxo,wajrtjiuzy
DoG,CaT,226,Dog,wrmwmnpylw,-0.2035,937
DOG,-0.094,390,akqcfauuwu,dOg,kzmkcyottm,137
52,490,-857,297,-217,512,-335
Dog,1000,boputmypwy,-0.478,-0.1255,nvolglzdpw,mhxhwkwzum
DoG,pccqvkgwbx,xibmyugwum,-0.355,DOg,-155,0.1755
0.306,-639,-0.235,vneyikhkfu,-87,582,469
cAT,0.157,786,384,fhcmiyjmmf,-0.2915,-0.222
DoG,610,-723,dOg,0.4705,tmmpfvobbn,CAt
doG,0.057,cAT,308,cpbbdhjtyy,-87,-0.3485
Dog,frmupbrbth,-343,-841,0.483,307,ostpbhjeqf
DoG,anpwyxyzqr,-0.303,0.4745,259,0.056,0.4795
DOg,dOg,-0.2165,964,-662,CaT,-409
cAt,zhnktjlzcy,DOg,0.4605,-523,cdriedhiit,0.157
Cat,dlbuxbqszd,DOg,0.211,etrldymmqo,Cat,nbqmhtuppf
dog,0.205,242,-0.3855,-160,0.289,fkmhxcpawh
cAT,-0.361,0.39,wzurfakudn,0.2865,ieyolynmgb,Dog
DoG,0.2565,kdgnkcgbeo,679,-44,cat,-163
CAT,0.2165,Dog,515,dOg,-0.0195,0.317
570,0.1185,-0.2335,uzzbpgmgcn,-0.1455,fpxjjovosa,shddlcokos
cAt,yufxqjvjvr,-102,dog,mfyxwgvwny,doG,-0.2915
0.0905,-406,dOg,Cat,wljlslmaec,CAT,451
dOG,0.4715,-0.454,-48,-717,0.0605,onjefhwdph
-0.3935,141,-0.0385,-0.3015,caT,-0.27,cAT
25,0.1565,-60,954,-0.128,cat,-665
pvkvvsmbwc,mkcwrqkcwo,0.0935,491,Cat,-970,Dog
dog,-213,216,DOG,-850,-662,-0.0425
dOg,yskayupunk,0.3295,242,-0.2995,ndmlitfcqf,llwfycrkzv
rzkadxvwlm,0.2365,-739,-137,85,812,fstgjcxdwe
Dog,lyohvawpky,-862,666,drszvimfdg,fqzhrjjrtk,-659
zsearbypzh,krbpxfpwmx,tuwruioogl,0.003,0.246,-925,wzmqpycgdx
Cat,797,-524,709,plbrchsntv,0.402,kxjetuoeck
gywckyiicq,Cat,0.2665,CAT,-0.056,hdpyamqckp,ghdqvgaokd
CAT,cpoxgpbavx,qcwronszau,myythcuvsv,DoG,euhckgbytq,caT
caT,cAt,Dog,-0.027,wlgpjrszjn,0.4805,ifhefuemrh
cAt,ubaskypwdd,205,dog,-0.3905,523,-0.031
DOg,0.461,296,caT,epvnfjbpzi,rbepbgnmyj,-643
CAt,omzxfmrkuu,0.324,gbnhbdubmt,ybkxyvxqar,-0.141,237
-426,-227,Cat,-0.37,bmvyqurwry,-0.126,-407
dOG,-811,460,-725,-0.009,399,CAT
cAt,kpewqkjzuw,ihhggpbdsw,rjkmjwujex,0.4865,0.152,fexacpdvfn
cat,cAt,dOG,CaT,biprulptvq,-378,sfnoiufasl
olbzqticnp,CAT,liuiebjcou,-0.3085,ooqshllqvp,707,qsgzocszuh
dOG,-271,cat,0.361,-0.249,rrsocatqkl,-0.2405
-987,sgdgqwaocz,-0.0325,-325,-0.453,caT,-425
dOG,0.01,-767,0.2705,nqeahnuocb,ukozgwvghn,-874
cAt,-361,-184,dOG,lfddoylaby,0.151,0.3005
caT,686,-732,Cat,30,CAt,-912
DOg,qddinvisfy,-0.446,-0.3555,dog,pitywkbdlu,Dog
doG,spjladwtji,-550,0.034,0.1935,0.244,-147
Cat,0.34,dOG,24,774,dlzhbsxmij,536
caT,-0.477,ymafsrlcbd,krgfodixze,DOg,-540,14
cat,CAt,dOg,0.2755,cat,cAT,exjerogckp
CAt,-0.3385,-764,-391,tvkdsqsgat,0.3305,jxasazukvw
-0.2,73,94,-0.15,knyauqvwlx,0.4155,-36
cAT,veutwswnbm,penkhedhkk,456,dOg,aimincoosf,hogfjpkvts
CaT,-0.085,caT,pdalepbonm,zhocmfunmu,flzodigsnd,0.2925
dog,0.24,386,sxdsyygsog,-673,-0.4705,xyjrpgqyfd
-675,-444,DOG,-31,Dog,0.3745,-744
CAt,611,cat,-0.18,-0.436,nwdzkoxpoi,CAT
-0.083,-0.1785,-0.123,dOG,0.336,0.151,knltjjdkhi
cat,-275,DoG,caT,-0.3835,ckztosnxhr,267
CAT,0.1105,pwfedgclgc,0.2475,vrpxpzzgas,-6,DOg
DOg,CaT,514,hrnokbotet,gdncvptqft,cAt,auifzxebyp
cat,CAT,gbadkljvpn,dog,fqshrkvheh,0.119,sbchouhpea
Cat,caT,0.3305,260,cat,630,caT
Cat,317,332,lfxyxgjxla,xpnhelicik,717,zirnblgnaf
cAT,-0.3455,638,hplcjkgybt,-548,Cat,-0.039
DOg,-671,DoG,-519,81,caT,0.119
dog,970,nwcfqjiybb,mjzkfvqtxv,bhfljvxnxg,-0.3025,DOg
CAT,jwdtodpxwp,0.0255,0.413,-0.0595,-932,252
doG,-690,655,zadkipwynf,-214,0.1545,nyuswphgtp
bmbvpfssku,dog,-552,0.0815,txvzixgxyj,CAt,0.4605
0.3325,0.385,186,dOG,gswhjizxtq,0.4935,dOg
-674,DOg,kjxsrnvqez,-0.2145,phigtrjnrv,0.1795,0.4655
498,0.1765,-514,DOG,165,-0.0965,0.1425
dOG,kbkvrpglmj,-566,0.0775,-0.0395,481,0.001
-506,ugbozerzyj,-0.2175,qwmhjlijnx,-0.407,-163,0.0885
DOG,CAT,-929,-415,10,swuayzzubq,770
doG,dOg,dgkinkjmlc,0.249,-161,294,qulnekvgxh
0.158,dog,cat,cAt,-758,-952,upbvphtgvt
292,inlinbhbnz,0.2695,-355,zswwdxlouo,516,0.3325
doG,-795,0.0775,-615,mykocxzupp,0.3445,CaT
egnljzgjru,CaT,dOg,-504,Dog,0.1465,0.189
pzrcdwxpht,-0.2715,eahgwnjvyy,dbinpojpil,-0.2045,-249,cat
dOg,-690,nddlyyzyjn,lasytnrnue,ycnazsuqmp,-793,ljuqwpavnm
-683,jsbypwkyij,uirernohkw,cAT,doG,cAT,rffgfrvflx
kfsmwunhlq,-963,CaT,0.101,cAT,-714,dOG
